customer_id,customer_name,region,city,signup_date,age_group,gender
CUST0001,Priya Patel,South,Mysore,2022-05-17,46-60,Female
CUST0002,Nikhil Dubey,West,Ahmedabad,2022-05-26,60+,Female
CUST0003,Nikhil Dubey,West,Nagpur,2022-09-15,46-60,Male
CUST0004,Sunita Mishra,Central,Bhopal,2023-03-16,46-60,Male
CUST0005,Kavita Joshi,West,Mumbai,2022-02-17,18-25,Male
CUST0006,Ravi Chandra,West,Surat,2023-04-27,46-60,Female
CUST0007,Priya Patel,North,Chandigarh,2022-06-13,18-25,Male
CUST0008,Nikhil Dubey,South,Kochi,2022-11-12,26-35,Male
CUST0009,Anita Verma,Central,Indore,2022-09-12,36-45,Female
CUST0010,Vijay Singh,South,Bangalore,2023-09-09,36-45,Male
CUST0011,Sanjay Yadav,South,Hyderabad,2023-11-02,46-60,Male
CUST0012,Vijay Singh,North,Delhi,2022-06-23,36-45,Female
CUST0013,Ravi Chandra,North,Lucknow,2022-04-19,18-25,Male
CUST0014,Geeta Bhatt,Central,Varanasi,2022-12-08,36-45,Female
CUST0015,Arjun Reddy,South,Hyderabad,2022-04-10,46-60,Female
CUST0016,Meera Das,East,Ranchi,2023-07-28,26-35,Female
CUST0017,Swati Kapoor,East,Ranchi,2022-11-28,18-25,Male
CUST0018,Vijay Singh,West,Nagpur,2023-09-23,46-60,Female
CUST0019,Vijay Singh,West,Mumbai,2023-11-11,26-35,Male
CUST0020,Nikhil Dubey,East,Bhubaneswar,2022-01-11,46-60,Male
CUST0021,Kavita Joshi,East,Bhubaneswar,2023-06-07,60+,Female
CUST0022,Ravi Chandra,Central,Gwalior,2022-10-24,46-60,Male
CUST0023,Rekha Srivastava,Central,Gwalior,2022-01-22,46-60,Male
CUST0024,Ravi Chandra,Central,Indore,2022-08-17,46-60,Male
CUST0025,Sanjay Yadav,North,Lucknow,2023-08-16,18-25,Female
CUST0026,Rekha Srivastava,North,Delhi,2022-08-17,46-60,Female
CUST0027,Asha Pandey,West,Nagpur,2022-02-25,46-60,Female
CUST0028,Arjun Reddy,Central,Gwalior,2022-01-27,26-35,Male
CUST0029,Harish Agarwal,South,Kochi,2023-05-11,60+,Male
CUST0030,Rohan Mehta,East,Ranchi,2023-05-27,36-45,Male
CUST0031,Nikhil Dubey,Central,Gwalior,2022-12-16,26-35,Female
CUST0032,Mohit Saxena,South,Mysore,2023-04-08,18-25,Male
CUST0033,Pallavi Shah,Central,Varanasi,2023-05-21,26-35,Male
CUST0034,Rahul Sharma,Central,Bhopal,2022-09-16,18-25,Female
CUST0035,Anita Verma,South,Kochi,2023-10-23,60+,Female
CUST0036,Sneha Gupta,East,Kolkata,2022-09-28,26-35,Male
CUST0037,Nisha Trivedi,South,Bangalore,2022-02-04,60+,Female
CUST0038,Asha Pandey,East,Guwahati,2022-06-28,26-35,Male
CUST0039,Asha Pandey,East,Guwahati,2023-06-21,18-25,Male
CUST0040,Swati Kapoor,East,Bhubaneswar,2022-04-06,18-25,Female
CUST0041,Harish Agarwal,West,Ahmedabad,2023-02-11,46-60,Female
CUST0042,Kavita Joshi,West,Pune,2022-11-21,18-25,Female
CUST0043,Arjun Reddy,North,Jaipur,2022-03-13,46-60,Male
CUST0044,Anita Verma,North,Lucknow,2022-08-20,26-35,Male
CUST0045,Suresh Pillai,Central,Gwalior,2022-06-07,36-45,Female
CUST0046,Sneha Gupta,West,Surat,2022-10-08,18-25,Male
CUST0047,Harish Agarwal,East,Bhubaneswar,2022-02-08,18-25,Female
CUST0048,Deepak Tiwari,West,Ahmedabad,2022-05-07,46-60,Male
CUST0049,Rohan Mehta,West,Ahmedabad,2022-02-27,46-60,Female
CUST0050,Sanjay Yadav,East,Kolkata,2022-08-21,26-35,Female
CUST0051,Nikhil Dubey,South,Bangalore,2023-11-16,18-25,Female
CUST0052,Nisha Trivedi,North,Amritsar,2023-10-19,60+,Male
CUST0053,Sunita Mishra,South,Mysore,2022-07-26,18-25,Male
CUST0054,Amit Kumar,South,Chennai,2022-07-31,46-60,Male
CUST0055,Rekha Srivastava,East,Patna,2022-02-12,26-35,Female
CUST0056,Lakshmi Rao,North,Chandigarh,2023-09-27,36-45,Male
CUST0057,Meera Das,North,Chandigarh,2023-05-31,46-60,Male
CUST0058,Arjun Reddy,East,Kolkata,2022-05-22,60+,Female
CUST0059,Sunita Mishra,North,Jaipur,2023-11-22,26-35,Female
CUST0060,Asha Pandey,East,Guwahati,2023-05-27,60+,Male
CUST0061,Kiran Bose,North,Delhi,2023-10-23,26-35,Female
CUST0062,Meera Das,Central,Indore,2022-10-31,60+,Female
CUST0063,Arun Patil,West,Ahmedabad,2023-02-06,18-25,Male
CUST0064,Mohit Saxena,Central,Bhopal,2023-02-23,60+,Female
CUST0065,Geeta Bhatt,East,Bhubaneswar,2022-05-08,18-25,Male
CUST0066,Arun Patil,Central,Raipur,2022-08-06,18-25,Female
CUST0067,Arjun Reddy,North,Jaipur,2023-02-05,46-60,Female
CUST0068,Suresh Pillai,Central,Bhopal,2022-08-05,36-45,Male
CUST0069,Mohit Saxena,North,Chandigarh,2023-09-15,26-35,Male
CUST0070,Sanjay Yadav,North,Chandigarh,2022-08-06,60+,Female
CUST0071,Sanjay Yadav,South,Kochi,2023-09-27,46-60,Female
CUST0072,Pooja Nair,East,Patna,2022-02-14,60+,Female
CUST0073,Sanjay Yadav,East,Ranchi,2023-06-15,36-45,Male
CUST0074,Ravi Chandra,West,Mumbai,2022-11-10,26-35,Female
CUST0075,Deepak Tiwari,Central,Gwalior,2023-09-13,60+,Female
CUST0076,Harish Agarwal,Central,Gwalior,2022-11-08,36-45,Male
CUST0077,Priya Patel,West,Pune,2023-02-02,60+,Male
CUST0078,Harish Agarwal,Central,Raipur,2023-09-03,36-45,Male
CUST0079,Rekha Srivastava,East,Bhubaneswar,2022-04-18,60+,Male
CUST0080,Nisha Trivedi,South,Bangalore,2023-05-24,46-60,Female
CUST0081,Priya Patel,South,Mysore,2023-05-31,18-25,Female
CUST0082,Rahul Sharma,South,Chennai,2023-08-17,26-35,Male
CUST0083,Kiran Bose,South,Kochi,2023-04-05,18-25,Female
CUST0084,Ravi Chandra,South,Kochi,2023-08-16,26-35,Female
CUST0085,Asha Pandey,South,Hyderabad,2022-04-14,26-35,Female
CUST0086,Harish Agarwal,Central,Bhopal,2022-08-18,26-35,Female
CUST0087,Nisha Trivedi,South,Chennai,2022-05-24,36-45,Female
CUST0088,Pooja Nair,North,Delhi,2023-03-09,26-35,Female
CUST0089,Anita Verma,East,Bhubaneswar,2022-04-10,26-35,Male
CUST0090,Pallavi Shah,North,Lucknow,2022-11-05,36-45,Female
CUST0091,Arun Patil,Central,Raipur,2022-01-16,26-35,Female
CUST0092,Nikhil Dubey,West,Mumbai,2022-01-19,18-25,Female
CUST0093,Amit Kumar,Central,Bhopal,2023-05-22,18-25,Male
CUST0094,Lakshmi Rao,West,Nagpur,2023-05-17,26-35,Male
CUST0095,Harish Agarwal,Central,Raipur,2022-04-08,36-45,Female
CUST0096,Suresh Pillai,North,Chandigarh,2023-05-21,26-35,Male
CUST0097,Priya Patel,East,Bhubaneswar,2023-10-13,26-35,Female
CUST0098,Pooja Nair,North,Lucknow,2022-01-21,18-25,Male
CUST0099,Suresh Pillai,North,Amritsar,2022-12-17,46-60,Male
CUST0100,Rohan Mehta,East,Guwahati,2022-03-13,36-45,Female
CUST0101,Mohit Saxena,East,Kolkata,2022-03-28,26-35,Male
CUST0102,Kavita Joshi,East,Kolkata,2022-06-13,60+,Female
CUST0103,Swati Kapoor,Central,Varanasi,2023-03-15,46-60,Female
CUST0104,Kiran Bose,East,Patna,2023-02-13,60+,Male
CUST0105,Kavita Joshi,West,Pune,2022-06-04,18-25,Female
CUST0106,Pallavi Shah,Central,Bhopal,2023-02-21,60+,Female
CUST0107,Amit Kumar,South,Mysore,2023-08-16,60+,Male
CUST0108,Lakshmi Rao,Central,Bhopal,2022-03-10,36-45,Female
CUST0109,Nisha Trivedi,North,Amritsar,2023-04-26,18-25,Male
CUST0110,Nikhil Dubey,West,Pune,2023-09-29,26-35,Female
CUST0111,Suresh Pillai,West,Nagpur,2022-08-25,18-25,Female
CUST0112,Sanjay Yadav,West,Pune,2022-12-08,18-25,Male
CUST0113,Vijay Singh,South,Hyderabad,2023-10-10,26-35,Female
CUST0114,Meera Das,Central,Raipur,2023-11-19,46-60,Female
CUST0115,Vijay Singh,South,Chennai,2023-05-19,26-35,Female
CUST0116,Nikhil Dubey,Central,Indore,2023-09-11,26-35,Male
CUST0117,Kavita Joshi,South,Chennai,2022-11-10,18-25,Female
CUST0118,Deepak Tiwari,North,Jaipur,2023-09-22,36-45,Female
CUST0119,Divya Iyer,North,Jaipur,2023-08-26,26-35,Female
CUST0120,Nisha Trivedi,East,Patna,2022-01-28,36-45,Female
CUST0121,Divya Iyer,Central,Gwalior,2022-06-21,46-60,Male
CUST0122,Pallavi Shah,West,Nagpur,2022-04-08,26-35,Female
CUST0123,Harish Agarwal,South,Mysore,2023-11-23,18-25,Male
CUST0124,Asha Pandey,East,Kolkata,2022-07-09,36-45,Female
CUST0125,Amit Kumar,South,Mysore,2023-03-30,36-45,Female
CUST0126,Priya Patel,West,Ahmedabad,2022-11-01,18-25,Female
CUST0127,Sanjay Yadav,South,Bangalore,2022-10-23,26-35,Female
CUST0128,Kiran Bose,East,Bhubaneswar,2023-03-09,18-25,Female
CUST0129,Sanjay Yadav,North,Jaipur,2022-11-01,26-35,Male
CUST0130,Suresh Pillai,North,Chandigarh,2022-11-09,46-60,Female
CUST0131,Nikhil Dubey,West,Mumbai,2023-01-01,26-35,Male
CUST0132,Sunita Mishra,South,Kochi,2023-06-26,26-35,Female
CUST0133,Lakshmi Rao,East,Guwahati,2023-01-24,60+,Male
CUST0134,Lakshmi Rao,West,Surat,2022-07-09,36-45,Male
CUST0135,Anita Verma,East,Guwahati,2023-06-07,36-45,Male
CUST0136,Swati Kapoor,South,Mysore,2023-11-15,46-60,Female
CUST0137,Vijay Singh,North,Amritsar,2022-05-29,46-60,Male
CUST0138,Sanjay Yadav,South,Mysore,2023-09-20,60+,Female
CUST0139,Sunita Mishra,West,Nagpur,2023-09-07,36-45,Male
CUST0140,Pooja Nair,Central,Bhopal,2023-02-21,60+,Male
CUST0141,Swati Kapoor,South,Kochi,2022-12-22,46-60,Male
CUST0142,Pooja Nair,North,Delhi,2023-07-27,46-60,Female
CUST0143,Vijay Singh,South,Hyderabad,2023-06-18,46-60,Female
CUST0144,Amit Kumar,Central,Bhopal,2023-01-23,26-35,Female
CUST0145,Amit Kumar,West,Surat,2022-12-22,46-60,Male
CUST0146,Pallavi Shah,Central,Varanasi,2022-11-21,18-25,Male
CUST0147,Arjun Reddy,North,Lucknow,2022-04-24,36-45,Male
CUST0148,Rahul Sharma,Central,Varanasi,2023-05-29,46-60,Female
CUST0149,Arun Patil,West,Surat,2022-01-08,18-25,Female
CUST0150,Kiran Bose,Central,Indore,2022-01-17,26-35,Male
CUST0151,Kiran Bose,South,Chennai,2023-05-19,18-25,Female
CUST0152,Arun Patil,East,Bhubaneswar,2023-11-21,60+,Male
CUST0153,Geeta Bhatt,South,Kochi,2023-07-08,60+,Female
CUST0154,Nikhil Dubey,West,Pune,2022-07-26,36-45,Female
CUST0155,Divya Iyer,South,Bangalore,2022-06-16,60+,Male
CUST0156,Divya Iyer,East,Ranchi,2023-08-03,46-60,Male
CUST0157,Divya Iyer,Central,Gwalior,2023-01-08,26-35,Female
