transaction_id,transaction_date,customer_id,customer_name,region,city,category,product_name,quantity,unit_price,unit_cost,discount_pct,gross_amount,discount_amount,net_amount,profit,payment_method,return_flag
TXN000001,2024-10-16,CUST0017,Rahul Sharma,East,Bhubaneswar,Clothing,Women's Kurti,2,1407.89,585.13,0.05,2815.78,140.79,2674.99,1504.73,Cash,0
TXN000002,2024-06-01,CUST0302,Sanjay Yadav,Central,Indore,Cosmetics,Sunscreen SPF50,1,474.84,268.7,0.05,474.84,23.74,451.1,182.4,Cash,0
TXN000003,2023-06-13,CUST0177,Sunita Mishra,East,Patna,Clothing,Women's Kurti,3,1252.12,585.48,0.2,3756.36,751.27,3005.09,1248.65,Debit Card,0
TXN000004,2024-04-15,CUST0186,Ravi Chandra,West,Mumbai,Sports,Dumbbells Set,2,3759.36,2215.64,0.2,7518.72,1503.74,6014.98,1583.7,Credit Card,0
TXN000005,2023-02-16,CUST0108,Rekha Srivastava,East,Kolkata,Clothing,Men's T-Shirt,1,859.02,342.92,0.0,859.02,0.0,859.02,516.1,Debit Card,0
TXN000006,2024-11-30,CUST0474,Harish Agarwal,Central,Indore,Sports,Cycle Helmet,4,1281.75,798.19,0.0,5127.0,0.0,5127.0,1934.24,Net Banking,0
TXN000007,2023-11-29,CUST0162,Rohan Mehta,North,Chandigarh,Electronics,Tablet,2,19565.47,13052.4,0.15,39130.94,5869.64,33261.3,7156.5,UPI,0
TXN000008,2024-10-20,CUST0220,Rajesh Malhotra,East,Bhubaneswar,Clothing,Saree,3,5169.99,2464.41,0.1,15509.97,1551.0,13958.97,6565.74,Net Banking,0
TXN000009,2023-08-13,CUST0217,Sunita Mishra,South,Mysore,Furniture,Office Chair,2,8269.87,5681.67,0.15,16539.74,2480.96,14058.78,2695.44,Cash,0
TXN000010,2024-09-02,CUST0385,Sanjay Yadav,Central,Raipur,Sports,Cricket Bat,1,3155.08,1758.37,0.1,3155.08,315.51,2839.57,1081.2,Debit Card,0
TXN000011,2024-03-21,CUST0312,Rohan Mehta,North,Lucknow,Sports,Yoga Mat,1,938.37,561.28,0.1,938.37,93.84,844.53,283.25,Credit Card,0
TXN000012,2023-06-15,CUST0450,Mohit Saxena,Central,Bhopal,Sports,Dumbbells Set,2,3580.49,2148.77,0.0,7160.98,0.0,7160.98,2863.44,Debit Card,0
TXN000013,2023-09-04,CUST0244,Asha Pandey,North,Delhi,Cosmetics,Foundation,3,925.89,508.32,0.15,2777.67,416.65,2361.02,836.06,Credit Card,0
TXN000014,2024-09-13,CUST0333,Divya Iyer,South,Mysore,Cosmetics,Sunscreen SPF50,1,441.08,266.95,0.15,441.08,66.16,374.92,107.97,UPI,0
TXN000015,2024-04-07,CUST0031,Kavita Joshi,South,Bangalore,Groceries,Basmati Rice 5kg,1,442.36,302.02,0.15,442.36,66.35,376.01,73.99,Cash,0
TXN000016,2023-12-05,CUST0296,Lakshmi Rao,South,Hyderabad,Cosmetics,Foundation,2,882.94,508.53,0.1,1765.88,176.59,1589.29,572.23,Credit Card,0
TXN000017,2024-02-21,CUST0051,Priya Patel,North,Jaipur,Groceries,Sugar 1kg,1,52.7,42.39,0.15,52.7,7.91,44.79,2.4,UPI,0
TXN000018,2023-04-22,CUST0448,Nisha Trivedi,South,Mysore,Furniture,Wooden Desk,3,12159.39,8387.06,0.0,36478.17,0.0,36478.17,11316.99,Cash,0
TXN000019,2024-07-17,CUST0085,Kiran Bose,Central,Bhopal,Electronics,Smartphone,2,21605.37,16899.06,0.0,43210.74,0.0,43210.74,9412.62,Cash,1
TXN000020,2023-09-29,CUST0339,Nikhil Dubey,West,Ahmedabad,Furniture,Wardrobe,3,19684.76,12356.7,0.1,59054.28,5905.43,53148.85,16078.75,UPI,0
TXN000021,2023-10-31,CUST0272,Anita Verma,North,Amritsar,Cosmetics,Hair Serum 100ml,3,669.31,399.44,0.2,2007.93,401.59,1606.34,408.02,Cash,1
TXN000022,2023-03-24,CUST0127,Ravi Chandra,North,Amritsar,Electronics,Router,2,3021.96,1889.03,0.1,6043.92,604.39,5439.53,1661.47,Net Banking,0
TXN000023,2023-03-25,CUST0068,Rekha Srivastava,Central,Gwalior,Sports,Dumbbells Set,2,3699.94,2165.51,0.05,7399.88,369.99,7029.89,2698.87,Debit Card,0
TXN000024,2023-03-16,CUST0478,Divya Iyer,Central,Gwalior,Electronics,Laptop,1,46379.03,38013.42,0.0,46379.03,0.0,46379.03,8365.61,Cash,0
TXN000025,2024-01-14,CUST0284,Pooja Nair,West,Nagpur,Cosmetics,Lipstick,1,627.81,300.85,0.2,627.81,125.56,502.25,201.4,Cash,1
TXN000026,2023-05-18,CUST0105,Rekha Srivastava,North,Amritsar,Clothing,Denim Jeans,1,2479.67,1179.17,0.0,2479.67,0.0,2479.67,1300.5,Debit Card,0
TXN000027,2023-09-15,CUST0083,Pallavi Shah,North,Delhi,Cosmetics,Foundation,2,899.03,508.48,0.0,1798.06,0.0,1798.06,781.1,UPI,0
TXN000028,2024-03-13,CUST0283,Vijay Singh,North,Delhi,Cosmetics,Moisturiser 50g,1,514.89,285.62,0.1,514.89,51.49,463.4,177.78,UPI,0
TXN000029,2023-11-12,CUST0499,Sunita Mishra,North,Lucknow,Clothing,Saree,2,5334.02,2557.62,0.05,10668.04,533.4,10134.64,5019.4,Credit Card,1
TXN000030,2023-08-31,CUST0411,Rekha Srivastava,South,Kochi,Electronics,Smartphone,2,23330.66,16828.83,0.05,46661.32,2333.07,44328.25,10670.59,Credit Card,0
TXN000031,2024-12-19,CUST0115,Rahul Sharma,North,Jaipur,Clothing,Women's Kurti,3,1293.52,610.63,0.0,3880.56,0.0,3880.56,2048.67,Credit Card,0
TXN000032,2023-10-13,CUST0170,Rahul Sharma,East,Patna,Cosmetics,Hair Serum 100ml,1,705.96,411.55,0.1,705.96,70.6,635.36,223.81,Cash,0
TXN000033,2023-09-25,CUST0060,Kiran Bose,East,Kolkata,Electronics,Wireless Earbuds,1,3489.68,2214.02,0.1,3489.68,348.97,3140.71,926.69,Net Banking,0
TXN000034,2023-02-15,CUST0101,Divya Iyer,North,Amritsar,Sports,Cycle Helmet,2,1374.23,811.61,0.15,2748.46,412.27,2336.19,712.97,UPI,0
TXN000035,2024-11-11,CUST0357,Pooja Nair,Central,Raipur,Cosmetics,Face Wash 100ml,3,297.92,159.12,0.05,893.76,44.69,849.07,371.71,Net Banking,0
TXN000036,2024-03-06,CUST0156,Pooja Nair,West,Pune,Sports,Badminton Racket,1,1491.72,902.59,0.0,1491.72,0.0,1491.72,589.13,Credit Card,0
TXN000037,2024-08-16,CUST0087,Rekha Srivastava,East,Guwahati,Furniture,Sofa Set,1,37417.11,24662.16,0.15,37417.11,5612.57,31804.54,7142.38,Cash,0
TXN000038,2024-11-10,CUST0013,Priya Patel,East,Kolkata,Clothing,Saree,1,4981.82,2545.98,0.0,4981.82,0.0,4981.82,2435.84,Credit Card,1
TXN000039,2024-09-17,CUST0336,Nikhil Dubey,North,Jaipur,Furniture,Wardrobe,1,18136.74,11927.75,0.0,18136.74,0.0,18136.74,6208.99,Cash,0
TXN000040,2023-04-20,CUST0063,Suresh Pillai,South,Chennai,Cosmetics,Hair Serum 100ml,1,712.76,401.38,0.2,712.76,142.55,570.21,168.83,Credit Card,0
TXN000041,2024-11-14,CUST0229,Rajesh Malhotra,Central,Gwalior,Groceries,Sugar 1kg,1,56.41,42.83,0.1,56.41,5.64,50.77,7.94,Credit Card,0
TXN000042,2024-05-01,CUST0366,Pooja Nair,South,Hyderabad,Sports,Running Shoes,1,5219.02,3156.72,0.0,5219.02,0.0,5219.02,2062.3,Credit Card,0
TXN000043,2023-11-24,CUST0278,Suresh Pillai,North,Chandigarh,Clothing,Women's Kurti,2,1275.74,596.94,0.0,2551.48,0.0,2551.48,1357.6,UPI,0
TXN000044,2024-03-06,CUST0386,Kiran Bose,Central,Bhopal,Sports,Running Shoes,2,5106.71,3285.01,0.0,10213.42,0.0,10213.42,3643.4,UPI,0
TXN000045,2024-07-13,CUST0371,Anita Verma,South,Kochi,Clothing,Denim Jeans,2,2500.05,1212.9,0.05,5000.1,250.01,4750.09,2324.29,UPI,0
